id,name,area_id,,,,
1,北海道,1,,,,
2,青森県,2,,,,
3,岩手県,2,,,,
4,宮城県,2,,,,
5,秋田県,2,,,,
6,山形県,2,,,,
7,福島県,2,,,,
8,茨城県,3,,,,
9,栃木県,3,,,,
10,群馬県,3,,,,
11,埼玉県,3,,,,
12,千葉県,3,,,,
13,東京都,3,,,,
14,神奈川県,3,,,,
15,新潟県,4,,,,
16,富山県,5,,,,
17,石川県,5,,,,
18,福井県,5,,,,
19,山梨県,4,,,,
20,長野県,4,,,,
21,岐阜県,6,,,,
22,静岡県,6,,,,
23,愛知県,6,,,,
24,三重県,6,,,,
25,滋賀県,7,,,,
26,京都府,7,,,,
27,大阪府,7,,,,
28,兵庫県,7,,,,
29,奈良県,7,,,,
30,和歌山県,7,,,,
31,鳥取県,8,,,,
32,島根県,8,,,,
33,岡山県,8,,,,
34,広島県,8,,,,
35,山口県,8,,,,
36,徳島県,9,,,,
37,香川県,9,,,,
38,愛媛県,9,,,,
39,高知県,9,,,,
40,福岡県,10,,,,
41,佐賀県,10,,,,
42,長崎県,10,,,,
43,熊本県,10,,,,
44,大分県,10,,,,
45,宮崎県,10,,,,
46,鹿児島県,10,,,,
47,沖縄県,11,,,,
